"Russell.Ticker","Russell.Company","Bloomberg.Name","BB.Unique.ID","Bloomberg.Ticker","RF.UI.ID"
"MEAS","MEASUREMENT SPECIALTIES","MEASUREMENT SPECIALTIES INC","EQ0010541100001000","MEAS","CFsT-"
"MED","MEDIFAST INC","MEDIFAST INC","EQ0012967000001000","MED","I3KVk3"
"MEDH","MEDQUIST HLDGS INC",NA,NA,"","mUhfM"
"MEI","METHODE ELECTRS INC","METHODE ELECTRONICS INC","EQ0010532500002000","MEI","CDnZF"
"MENT","MENTOR GRAPHICS CORP","MENTOR GRAPHICS CORP","EQ0010174200001000","MENT","CXq8U"
"MERU","MERU NETWORKS INC","MERU NETWORKS INC","EQ0000000009492352","MERU","I2VKv0"
"MET","METLIFE INC","METLIFE INC","EQ0117522300001000","MET","B_jUy"
"METR","METRO BANCORP INC","METRO BANCORP INC","EQ0015466100001000","METR","Cg2SR"
"MF","MF GLOBAL HOLDINGS LTD","MF GLOBAL HOLDINGS LTD","EQ0000000003586623","MFGLQ","B_Rtr"
"MFA","MFA FINANCIAL INC","MFA FINANCIAL INC","EQ0031386300001000","MFA","Cgxu5"
"MFB","MAIDENFORM BRANDS INC","MAIDENFORM BRANDS INC","EQ0000000001724761","MFB","CEHLW"
"MFLX","MULTI-FINELINE ELECTRON","MULTI-FINELINE ELECTRONIX IN","EQ0000000001074163","MFLX","ChvX1"
"MFW","M & F WORLDWIDE CORP",NA,NA,"","GqfHd"
"MG","MISTRAS GROUP INC","MISTRAS GROUP INC","EQ0000000006122406","MG","EwfKx"
"MGAM","MULTIMEDIA GAMES HLD CO","MULTIMEDIA GAMES HOLDING CO","EQ0013674300001000","MGAM","CZV7i"
"MGEE","MGE ENERGY INC","MGE ENERGY INC","EQ0010528400001000","MGEE","CcZs4"
"MGI","MONEYGRAM INTERNATIONAL","MONEYGRAM INTERNATIONAL INC","EQ0000000001163021","MGI","CA3Ng"
"MGLN","MAGELLAN HEALTH SVCS IN","MAGELLAN HEALTH SERVICES INC","EQ0000000000901144","MGLN","CcWXL"
"MGM","MGM RESORTS INTL","MGM RESORTS INTERNATIONAL","EQ0010099200001000","MGM","B_OFe"
"MGPI","MGP INGREDIENTS INC","MGP INGREDIENTS INC","EQ0010557000001000","MGPI","Cdrdj"
"MGRC","MCGRATH RENTCORP","MCGRATH RENTCORP","EQ0010534900001000","MGRC","DNyco"
"MHGC","MORGANS HOTEL GROUP CO","MORGANS HOTEL GROUP CO","EQ0000000001211374","MHGC","CBys7"
"MHK","MOHAWK INDUSTRIES INC","MOHAWK INDUSTRIES INC","EQ0010542900001000","MHK","qQDz8"
"MHLD","MAIDEN HOLDINGS LTD","MAIDEN HOLDINGS LTD","EQ0000000006170987","MHLD","L6F5e"
"MHO","M/I HOMES INC","M/I HOMES INC","EQ0012594900001000","MHO","ChSqf"
"MHP","MCGRAW HILL COS INC","MCGRAW-HILL COMPANIES INC","EQ0010096200001000","MHP","B_Kw1"
"MHR","MAGNUM HUNTER RES CORP","MAGNUM HUNTER RESOURCES CORP","EQ0030296000001000","MHR","CZHPt"
"MHS","MEDCO HEALTH SOLUTIONS","MEDCO HEALTH SOLUTIONS INC","EQ0000000000158587","","B_KDq"
"MI","MARSHALL & ILSLEY CORP",NA,NA,"","CAMHe"
"MIDD","MIDDLEBY CORP","MIDDLEBY CORP","EQ0010523700001000","MIDD","CC-kW"
"MIG","MEADOWBROOK INS GROUP","MEADOWBROOK INSURANCE GROUP","EQ0017084400001000","MIG","B46Cdn"
"MILL","MILLER ENERGY RES INC","MILLER ENERGY RESOURCES INC","EQ0019444500001000","MILL","DSzZr"
"MIND","MITCHAM INDUSTRIES INC","MITCHAM INDUSTRIES INC","EQ0015942200001000","MIND","COM7y"
"MINI","MOBILE MINI INC","MOBILE MINI INC","EQ0013615300001000","MINI","Cht34"
"MIPS","MIPS TECHNOLOGIES INC","MIPS TECHNOLOGIES INC","EQ0031398800001000","MIPS","CZ6uY"
"MITI","MICROMET INC",NA,NA,"","CW15W"
"MJN","MEAD JOHNSON NUTRITION","MEAD JOHNSON NUTRITION CO","EQ0000000005915975","MJN","B_WJt"
"MKC","MCCORMICK & CO INC","MCCORMICK & CO-NON VTG SHRS","EQ0010173900001000","MKC","B_KBa"
"MKL","MARKEL CORP","MARKEL CORP","EQ0010519400001000","MKL","B_NEo"
"MKSI","MKS INSTRUMENTS INC","MKS INSTRUMENTS INC","EQ0030294600001000","MKSI","B_Ykq"
"MKTG","RESPONSYS INC","RESPONSYS INC","EQ0000000000065320","MKTG","I2d4ej"
"MKTX","MARKETAXESS HOLDINGS IN","MARKETAXESS HOLDINGS INC","EQ0099889500001000","MKTX","CgCL5"
"MLHR","HERMAN MILLER INC","HERMAN MILLER INC","EQ0010174400001000","MLHR","B_1v2"
"MLI","MUELLER INDUSTRIES INC","MUELLER INDUSTRIES INC","EQ0010102200001000","MLI","B_RUc"
"MLM","MARTIN MARIETTA MTLS","MARTIN MARIETTA MATERIALS","EQ0013616100001000","MLM","CEOCx"
"MLNK","MODUSLINK GLB SOLUTIONS","MODUSLINK GLOBAL SOLUTIONS I","EQ0012979300001000","MLNK","DQ9jl"
"MLR","MILLER INDUSTRIES INC","MILLER INDUSTRIES INC/TENN","EQ0014823500001000","MLR","I4SrZz"
"MMC","MARSH & MCLENNAN COS","MARSH & MCLENNAN COS","EQ0010094200001000","MMC","CCsVl"
"MMI","MOTOROLA MOBILITY HLDGS","MOTOROLA MOBILITY HOLDINGS I","EQ0000000005956352","","B_JLz"
"MMM","3M CO","3M CO","EQ0010100100001000","MMM","B_KRA"
"MMR","MCMORAN EXPLORATION CO","MCMORAN EXPLORATION CO","EQ0037698100001000","MMR","CefLj"
"MMS","MAXIMUS INC","MAXIMUS INC","EQ0021033100001000","MMS","DcieR"
"MMSI","MERIT MED SYSTEMS INC","MERIT MEDICAL SYSTEMS INC","EQ0010541000001000","MMSI","Crr0c"
"MNI","MCCLATCHY CO","MCCLATCHY CO-CLASS A","EQ0010095700002000","MNI","B_POV"
"MNKD","MANNKIND CORP","MANNKIND CORP","EQ0000000001097348","MNKD","I2WR_K"
"MNR","MONMOUTH REAL ESTATE","MONMOUTH REIT-CLASS A","EQ0010541900002000","MNR","CCY2w"
"MNRO","MONRO MUFFLER BRAKE INC","MONRO MUFFLER BRAKE INC","EQ0010541800001000","MNRO","CeIrn"
"MNTA","MOMENTA PHARMACEUTICALS","MOMENTA PHARMACEUTICALS INC","EQ0000000001015356","MNTA","Cibe9"
"MO","ALTRIA GROUP INC","ALTRIA GROUP INC","EQ0010117200001000","MO","B_JWz"
"MOD","MODINE MANUFACTURING CO","MODINE MANUFACTURING CO","EQ0010542500001000","MOD","CYWkS"
"MOG.A","MOOG INC","MOOG INC-CLASS A","EQ0010542700002000","MOG/A","I2blxF"
"MOH","MOLINA HEALTHCARE INC","MOLINA HEALTHCARE INC","EQ0000000000446731","MOH","Cd3VA"
"MOLX","MOLEX INC","MOLEX INC","EQ0010174500001000","MOLX","B_Hup"
"MON","MONSANTO CO","MONSANTO CO","EQ0118075000001000","MON","B_KaO"
"MORN","MORNINGSTAR INC","MORNINGSTAR INC","EQ0038607400001000","MORN","CBXw7"
"MOS","MOSAIC COMPANY","MOSAIC CO/THE","EQ0000000001370586","MOS","CFwx3"
"MOSY","MOSYS INC","MOSYS INC","EQ0118332400001000","MOSY","CpK_I"
"MOTR","MOTRICITY INC","MOTRICITY INC","EQ0000000001911886","MOTR","cJaF"
"MOV","MOVADO GROUP INC","MOVADO GROUP INC","EQ0011967600001000","MOV","CDnT7"
"MOVE","MOVE INC","MOVE INC","EQ0086118000001000","MOVE","CCYdX"
"MPAA","MOTORCAR PTS AMERICA IN","MOTORCAR PARTS OF AMERICA IN","EQ0013661800001000","MPAA","BlZq-"
"MPG","MPG OFFICE TRUST INC","MPG OFFICE TRUST INC","EQ0000000000398381","MPG","MQGOX"
"MPR","MET-PRO CORP","MET-PRO CORP","EQ0010545600001000","MPR","DrRi3"
"MPW","MEDICAL PROPERTIES TRUS","MEDICAL PROPERTIES TRUST INC","EQ0000000001164142","MPW","B_bDu"
"MPWR","MONOLITHIC POWER SYSTEM","MONOLITHIC POWER SYSTEMS INC","EQ0000000001217330","MPWR","ClQ7A"
"MPX","MARINE PRODUCTS CORP","MARINE PRODUCTS CORP","EQ0174580600001000","MPX","CACD_"
"MRCY","MERCURY COMPUTER SYSTEM","MERCURY COMPUTER SYSTEMS INC","EQ0031300800001000","MRCY","CDnBE"
"MRGE","MERGE HEALTHCARE INC","MERGE HEALTHCARE INC","EQ0031332300001000","MRGE","CBC__"
"MRH","MONTPELIER RE HOLDINGS","MONTPELIER RE HOLDINGS LTD","EQ0000000000191779","MRH","CiGD5"
"MRK","MERCK & CO INC","MERCK & CO. INC.","EQ0010097800001000","MRK","B_Js2"
"MRLN","MARLIN BUSINESS SVCS","MARLIN BUSINESS SERVICES INC","EQ0000000000734494","MRLN","GSXsb"
"MRO","MARATHON OIL CORP","MARATHON OIL CORP","EQ0010158100001000","MRO","mJfeU"
"MRTN","MARTEN TRANS LTD","MARTEN TRANSPORT LTD","EQ0010549500001000","MRTN","FGGkF"
"MRVL","MARVELL TECHNOLOGY GROU","MARVELL TECHNOLOGY GROUP LTD","EQ0117905100001000","MRVL","B_cvc"
"MRX","MEDICIS PHARMACEUTICAL","MEDICIS PHARMACEUTICAL-CL A","EQ0010528200002000","MRX","B_Mx9"
"MS","MORGAN STANLEY","MORGAN STANLEY","EQ0011664600001000","MS","B_GbB"
"MSA","MINE SAFETY APPLIANCES","MINE SAFETY APPLIANCES CO","EQ0010541500001000","MSA","CLqNu"
"MSCC","MICROSEMI CORP","MICROSEMI CORP","EQ0010550200001000","MSCC","CAeNT"
"MSCI","MSCI INC","MSCI INC","EQ0000000003803223","MSCI","L6LVL"
"MSEX","MIDDLESEX WATER CO","MIDDLESEX WATER CO","EQ0010550900001000","MSEX","CI1hR"
"MSFG","MAINSOURCE FINANCIAL GR","MAINSOURCE FINANCIAL GROUP I","EQ0010479700001000","MSFG","CrlKm"
"MSFT","MICROSOFT CORP","MICROSOFT CORP","EQ0010174300001000","MSFT","B_E7B"
"MSG","MADISON SQUARE GARDEN","MADISON SQUARE GARDEN CO-A","EQ0000000008774049","MSG","GGpaz"
"MSI","MOTOROLA SOLUTIONS INC","MOTOROLA SOLUTIONS INC","EQ0010102100001000","MSI","kT7en"
"MSL","MIDSOUTH BANCORP INC","MIDSOUTH BANCORP INC","EQ0011714600001000","MSL","CZVZT"
"MSM","MSC INDL DIRECT INC","MSC INDUSTRIAL DIRECT CO-A","EQ0017139700001000","MSM","CLx1z"
"MSO","MARTHA STEWART LIVING","MARTHA STEWART LIVING-A","EQ0093422500001000","MSO","B_UbV"
"MSPD","MINDSPEED TECHNOLOGIES","MINDSPEED TECHNOLOGIES INC","EQ0000000000636774","MSPD","DyS4k"
"MSSR","MCCORMICK & SCHMICKS",NA,NA,"","DvEQY"
"MSTR","MICROSTRATEGY INC","MICROSTRATEGY INC-CL A","EQ0031386600001000","MSTR","B_m8u"
"MSW","MISSION WEST PROPERTIES","MISSION WEST PROPERTIES","EQ0010552400001000","MSW","Cpk0Q"
"MTB","M & T BANK CORP","M & T BANK CORP","EQ0010382100001000","MTB","B_aQe"
"MTD","METTLER TOLEDO INTL INC","METTLER-TOLEDO INTERNATIONAL","EQ0020168400001000","MTD","W5C3q"
"MTG","MGIC INVESTMENT CORP","MGIC INVESTMENT CORP","EQ0010099100001000","MTG","CIc7x"
"MTH","MERITAGE HOMES CORP","MERITAGE HOMES CORP","EQ0010074500001000","MTH","I2Xs15"
"MTN","VAIL RESORTS INC","VAIL RESORTS INC","EQ0018671900001000","MTN","CdAGO"
"MTOR","MERITOR INC","MERITOR INC","EQ0140920000001000","MTOR","CDpKD"
"MTOX","MEDTOX SCIENTIFIC INC","MEDTOX SCIENTIFIC INC","EQ0010355700001000","MTOX","CoEeW"
"MTRN","MATERION CORPORATION","MATERION CORP","EQ0010024100001000","MTRN","DllBz"
"MTRX","MATRIX SERVICE CO","MATRIX SERVICE CO","EQ0010554800001000","MTRX","CFx5m"
"MTSC","MTS SYSTEMS CORP","MTS SYSTEMS CORP","EQ0010554900001000","MTSC","CCZuI"
"MTW","MANITOWOC CO INC","MANITOWOC COMPANY INC","EQ0010520000001000","MTW","_h6go"
"MTX","MINERALS TECHNOLOGIES","MINERALS TECHNOLOGIES INC","EQ0011585100001000","MTX","I2xWmN"
"MTZ","MASTEC INC","MASTEC INC","EQ0010259500001000","MTZ","CGiiS"
"MU","MICRON TECHNOLOGY INC","MICRON TECHNOLOGY INC","EQ0010099500001000","MU","CAgQI"
"MUR","MURPHY OIL CORP","MURPHY OIL CORP","EQ0010102400001000","MUR","B_Yzm"
"MUSA","METALS USA HLDGS CORP","METALS USA HOLDINGS CORP","EQ0000000002560429","MUSA","CHE5Q"
"MVC","MVC CAPITAL INC","MVC CAPITAL INC","EQ0144390600060000","MVC","I2lLom"
"MVIS","MICROVISION INC DEL","MICROVISION INC","EQ0019432600001000","MVIS","CFCmX"
"MW","MENS WEARHOUSE INC","MEN\'S WEARHOUSE INC/THE","EQ0010709600001000","MW","CGht2"
"MWA","MUELLER WTR PRODS INC","MUELLER WATER PRODUCTS INC-A","EQ0000000002286179","MWA","Cha1Z"
"MWIV","MWI VETERINARY SUPPLY","MWI VETERINARY SUPPLY INC","EQ0000000001726623","MWIV","B_3jk"
"MWV","MEADWESTVACO CORP","MEADWESTVACO CORP","EQ0000000000104790","MWV","B_Q7F"
"MWW","MONSTER WORLDWIDE INC","MONSTER WORLDWIDE INC","EQ0019464600001000","MWW","l0mkH"
"MXIM","MAXIM INTEGRATED PRODS","MAXIM INTEGRATED PRODUCTS","EQ0010557400001000","MXIM","CKGet"
"MXL","MAXLINEAR INC","MAXLINEAR INC-CLASS A","EQ0000000009285729","MXL","I2mMzK"
"MXWL","MAXWELL TECHNOLOGIES IN","MAXWELL TECHNOLOGIES INC","EQ0010557900001000","MXWL","Cc-mt"
"MYE","MYERS INDUSTRIES INC","MYERS INDUSTRIES INC","EQ0010558300001000","MYE","CuuxV"
"MYGN","MYRIAD GENETICS INC","MYRIAD GENETICS INC","EQ0017911600001000","MYGN","CX71y"
"MYL","MYLAN INC","MYLAN INC","EQ0010102800001000","MYL","I2OEjv"
"MYRG","MYR GROUP INC DEL","MYR GROUP INC/DELAWARE","EQ0000000006740603","MYRG","Hwg5U"
"N","NETSUITE INC","NETSUITE INC","EQ0000000002991380","N","B_t1t"
"NABI","NABI BIOPHARMACEUTICALS","NABI BIOPHARMACEUTICALS","EQ0010561800001000","NABI","CdYcH"
"NAFC","NASH FINCH CO","NASH FINCH CO","EQ0010558900001000","NAFC","CAYBD"
"NANO","NANOMETRICS INC","NANOMETRICS INC","EQ0010559800001000","NANO","D6Fx2"
"NARA","NARA BANCORP INC","NARA BANCORP INC","EQ0017991000001000","BBCN","B_LZd"
"NAT","NORDIC AMERICAN TANKER","NORDIC AMERICAN TANKERS LTD","EQ0017098700001000","NAT","CAx8O"
"NATI","NATIONAL INSTRS CORP","NATIONAL INSTRUMENTS CORP","EQ0015976300001000","NATI","CCJqi"
"NATL","NATIONAL INTERSTATE COR","NATIONAL INTERSTATE CORP","EQ0000000001336481","NATL","CiE_B"
"NATR","NATURES SUNSHINE PRODS","NATURES SUNSHINE PRODS INC","EQ0010560700001000","NATR","CTzlG"
"NAUH","NATIONAL AMERN UNIV","NATIONAL AMERICAN UNIVERSITY","EQ0000000005301219","NAUH","aj0m9"
"NAV","NAVISTAR INTL CORP NEW","NAVISTAR INTERNATIONAL CORP","EQ0010105200001000","NAV","CBYIu"
"NAVG","NAVIGATORS GROUP INC","NAVIGATORS GROUP INC","EQ0010561000001000","NAVG","CeYoK"
"NBIX","NEUROCRINE BIOSCIENCES","NEUROCRINE BIOSCIENCES INC","EQ0017176000001000","NBIX","C3vqh"
"NBL","NOBLE ENERGY INC","NOBLE ENERGY INC","EQ0010107600001000","NBL","3vUwZ"
"NBR","NABORS INDUSTRIES LTD","NABORS INDUSTRIES LTD","EQ0010562000001000","NBR","B_Ob7"
"NBS","NEOSTEM INC","NEOSTEM INC","EQ0013607400001000","NBS","DPJUx"
"NBTB","NBT BANCORP INC","N B T BANCORP INC","EQ0010562200001000","NBTB","L5oy8"
"NC","NACCO INDUSTRIES INC","NACCO INDUSTRIES-CL A","EQ0010102900002000","NC","CEMKo"
"NCI","NAVIGANT CONSULTING INC","NAVIGANT CONSULTING INC","EQ0019434900001000","NCI","B_s_P"
"NCIT","NCI INC","NCI INC-A","EQ0000000001905158","NCIT","CLy2g"
"NCMI","NATIONAL CINEMEDIA INC","NATIONAL CINEMEDIA INC","EQ0000000002903573","NCMI","EnfHL"
"NCR","NCR CORP","NCR CORPORATION","EQ0020247600001000","NCR","CXOUON"
"NCS","NCI BUILDING SYSTEMS IN","NCI BUILDING SYSTEMS INC","EQ0010247200001000","NCS","CXaYa"
"NCT","NEWCASTLE INVT CORP","NEWCASTLE INVESTMENT CORP","EQ0000000000235832","NCT","ui1e7"
"NDAQ","NASDAQ OMX GROUP INC","NASDAQ OMX GROUP/THE","EQ0096674500001000","NDAQ","CF0Zn"
"NDN","99 CENTS ONLY STORES",NA,NA,"","F0-up"
"NDSN","NORDSON CORP","NORDSON CORP","EQ0010564700001000","NDSN","Cjksr"
"NEE","NEXTERA ENERGY INC","NEXTERA ENERGY INC","EQ0010060700001000","NEE","I2NNGa"
"NEM","NEWMONT MINING CORP","NEWMONT MINING CORP","EQ0010106800001000","NEM","B_OOJ"
"NEOG","NEOGEN CORP","NEOGEN CORP","EQ0010565500001000","NEOG","CDjdX"
"NEOP","NEOPROBE CORP",NA,NA,"","JxXP"
"NETL","NETLOGIC MICROSYSTEMS","NETLOGIC MICROSYSTEMS INC","EQ0083308300001000","","CKmZR"
"NEU","NEWMARKET CORPORATION","NEWMARKET CORP","EQ0010054400001000","NEU","CFsN7"
"NEWP","NEWPORT CORP","NEWPORT CORP","EQ0010566800001000","NEWP","I2UTkk"
"NEWS","NEWSTAR FINANCIAL INC","NEWSTAR FINANCIAL INC","EQ0000000002822004","NEWS","CLyXZ"
"NFBK","NORTHFIELD BANCORP INC","NORTHFIELD BANCORP INC/NJ","EQ0000000005070249","NFBK","EZHy1"
"NFG","NATIONAL FUEL GAS CO","NATIONAL FUEL GAS CO","EQ0010103900001000","NFG","CB2Fa"
"NFLX","NETFLIX INC","NETFLIX INC","EQ0087032100001000","NFLX","B_HCM"
"NFP","NATIONAL FINL PARTNERS","NATIONAL FINANCIAL PARTNERS","EQ0000000000367638","NFP","CX9M_"
"NFX","NEWFIELD EXPLORATION CO","NEWFIELD EXPLORATION CO","EQ0012626400001000","NFX","B_2cb"
"NGPC","NGP CAPITAL RESOURCES","NGP CAPITAL RESOURCES CO","EQ0000000001391303","NGPC","CmVHE"
"NGS","NATURAL GAS SERVICES GR","NATURAL GAS SERVICES GROUP","EQ0728734400001000","NGS","Cjlu5"
"NHC","NATIONAL HEALTHCARE COR","NATIONAL HEALTHCARE CORP","EQ0031323800001000","NHC","B_2Qm"
"NHI","NATIONAL HEALTH INVS IN","NATL HEALTH INVESTORS INC","EQ0010104100001000","NHI","CTy_y"
"NHP","NATIONWIDE HEALTH PPTYS",NA,NA,"","CapyM"
"NI","NISOURCE INC","NISOURCE INC","EQ0010107400001000","NI","B_KH6"
"NICK","NICHOLAS FINANCIAL INC","NICHOLAS FINANCIAL INC","EQ0011001400001001","NICK","DS94O"
"NIHD","NII HOLDINGS INC","NII HOLDINGS INC","EQ0000000000400146","NIHD","B_O_v"
"NILE","BLUE NILE INC","BLUE NILE INC","EQ0000000001012958","NILE","C1kKz"
"NJR","NEW JERSEY RESOURCES","NEW JERSEY RESOURCES CORP","EQ0010106100001000","NJR","CWcrp"
"NKE","NIKE INC","NIKE INC -CL B","EQ0010107300003000","NKE","B_MKw"
"NKSH","NATIONAL BANKSHARES INC","NATIONAL BANKSHARES INC/VA","EQ0013660000001000","NKSH","CtmiX"
"NKTR","NEKTAR THERAPEUTICS","NEKTAR THERAPEUTICS","EQ0013635700001000","NKTR","CBdFF"
"NL","NL INDUSTRIES INC","NL INDUSTRIES","EQ0010107500001000","NL","Cr4-G"
"NLC","NALCO HOLDING COMPANY",NA,NA,"","CA6KN"
"NLSN","NIELSEN HOLDINGS NV","NIELSEN HOLDINGS NV","EQ0000000010374974","NLSN","XvNKD"
"NLY","ANNALY CAPITAL MGMT INC","ANNALY CAPITAL MANAGEMENT IN","EQ0021465900002000","NLY","CCmwm"
